"Sichinava_n" "Sichinava_p" "Voloshin_n" "Voloshin_p"
"и" 4.11191182704536 4.70068300522298 4.33772269558482 3.39130434782609
"в" 3.51844001695634 3.89714744877461 3.25329202168861 3.95652173913043
"не" 1.44128868164476 1.48654077942949 2.13013168086754 1.82608695652174
"на" 1.18694362017804 1.68742466854158 1.00697134004648 1.82608695652174
"с" 1.14455277660025 1.68742466854158 1.2006196746708 0.782608695652174
"что" 0.890207715133531 0.964242667738047 1.35553834237026 0.782608695652174
"но" 0.635862653666808 0.200883889112093 1.23934934159566 1.39130434782609
"его" 0.805426027977957 0.803535556448373 0.735863671572424 0.434782608695652
"из" 0.76303518440017 0.683005222981117 0.580945003872967 0.695652173913043
"как" 0.593471810089021 0.723182000803536 0.503485670023238 0.652173913043478
"то" 0.551080966511234 0.522298111691442 0.774593338497289 0.347826086956522
"это" 0.466299279355659 0.200883889112093 0.929512006196747 0.478260869565217
"а" 0.423908435777872 0.763358778625954 0.387296669248644 0.478260869565217
"к" 0.593471810089021 0.88388911209321 0.271107668474051 0.217391304347826
"по" 0.635862653666808 0.562474889513861 0.503485670023238 0.130434782608696
"за" 0.466299279355659 0.361591000401768 0.309837335398916 0.347826086956522
"он" 0.508690122933446 0.321414222579349 0.309837335398916 0.347826086956522
"о" 0.381517592200085 0.683005222981117 0.193648334624322 0.173913043478261
"от" 0.29673590504451 0.241060666934512 0.34856700232378 0.521739130434783
"для" 0.466299279355659 0.200883889112093 0.271107668474051 0.391304347826087
"их" 0.381517592200085 0.562474889513861 0.193648334624322 0.173913043478261
"у" 0.381517592200085 0.160707111289675 0.232378001549187 0.478260869565217
"или" 0.254345061466723 0.482121333869024 0.271107668474051 0.173913043478261
"ее" 0.466299279355659 0.361591000401768 0.116189000774593 0.173913043478261
"же" 0.593471810089021 0.361591000401768 0.0387296669248644 0.130434782608696
"кино" 0.0423908435777872 0.0803535556448373 0.34856700232378 0.652173913043478
"фильма" 0.29673590504451 0.200883889112093 0.271107668474051 0.304347826086957
"все" 0.29673590504451 0.321414222579349 0.232378001549187 0.173913043478261
"фильм" 0.0847816871555744 0.241060666934512 0.232378001549187 0.478260869565217
"бы" 0.211954217888936 0.0803535556448373 0.464756003098373 0.173913043478261
"еще" 0.423908435777872 0.361591000401768 0 0.0869565217391304
"так" 0.254345061466723 0.160707111289675 0.309837335398916 0.130434782608696
"героев" 0.339126748622298 0.200883889112093 0.154918667699458 0.130434782608696
"даже" 0.169563374311149 0.241060666934512 0.154918667699458 0.260869565217391
"если" 0.254345061466723 0.321414222579349 0.154918667699458 0.0869565217391304
"во" 0.508690122933446 0.160707111289675 0.116189000774593 0
"очень" 0.0847816871555744 0.120530333467256 0.309837335398916 0.260869565217391
"только" 0.254345061466723 0.120530333467256 0.232378001549187 0.173913043478261
"со" 0.127172530733362 0.241060666934512 0.0774593338497289 0.304347826086957
"вполне" 0.127172530733362 0.0803535556448373 0.271107668474051 0.217391304347826
"которой" 0.254345061466723 0.281237444756931 0.0387296669248644 0.130434782608696
"всё" 0.0423908435777872 0 0.34856700232378 0.260869565217391
"герои" 0.169563374311149 0.200883889112093 0.193648334624322 0.0869565217391304
"история" 0 0.281237444756931 0.309837335398916 0.0434782608695652
"уже" 0.127172530733362 0.0803535556448373 0.34856700232378 0.0869565217391304
"чтобы" 0.127172530733362 0.160707111289675 0.271107668474051 0.0869565217391304
"этом" 0.169563374311149 0.200883889112093 0.154918667699458 0.130434782608696
"где" 0.0423908435777872 0.0401767778224186 0.271107668474051 0.260869565217391
"ему" 0.254345061466723 0.120530333467256 0.154918667699458 0.0869565217391304
"совсем" 0.211954217888936 0.160707111289675 0.154918667699458 0.0869565217391304
"до" 0.0423908435777872 0.0401767778224186 0.116189000774593 0.391304347826087
"есть" 0.127172530733362 0.160707111289675 0.0774593338497289 0.217391304347826
"когда" 0.127172530733362 0.200883889112093 0.154918667699458 0.0869565217391304
"кэт" 0 0.562474889513861 0 0
"том" 0.0847816871555744 0.321414222579349 0.116189000774593 0.0434782608695652
"этого" 0.0847816871555744 0.120530333467256 0.154918667699458 0.217391304347826
"можно" 0.211954217888936 0.160707111289675 0.154918667699458 0
"они" 0.211954217888936 0.0803535556448373 0.154918667699458 0.0869565217391304
"просто" 0.127172530733362 0.0803535556448373 0.271107668474051 0.0434782608695652
"чем" 0.29673590504451 0.0803535556448373 0.116189000774593 0.0434782608695652
"больше" 0.0423908435777872 0.160707111289675 0.116189000774593 0.173913043478261
"лишь" 0.0847816871555744 0.0401767778224186 0.116189000774593 0.260869565217391
"менее" 0 0.0803535556448373 0.193648334624322 0.217391304347826
"может" 0.0423908435777872 0.0401767778224186 0.271107668474051 0.130434782608696
"нет" 0.127172530733362 0.120530333467256 0.193648334624322 0.0434782608695652
"после" 0.254345061466723 0.0803535556448373 0.0387296669248644 0.130434782608696
"при" 0.0423908435777872 0.0401767778224186 0.193648334624322 0.217391304347826
"про" 0 0 0.232378001549187 0.260869565217391
"раз" 0.127172530733362 0.0401767778224186 0.154918667699458 0.173913043478261
"рэмбо" 0 0 0.464756003098373 0
"был" 0.169563374311149 0.160707111289675 0.0774593338497289 0.0434782608695652
"впрочем" 0.0423908435777872 0.200883889112093 0.0387296669248644 0.173913043478261
"джон" 0 0.0803535556448373 0.271107668474051 0.0869565217391304
"которого" 0.169563374311149 0.120530333467256 0.0774593338497289 0.0869565217391304
"ли" 0 0 0.232378001549187 0.217391304347826
"несколько" 0 0.200883889112093 0.0774593338497289 0.173913043478261
"ни" 0.127172530733362 0.120530333467256 0.0387296669248644 0.173913043478261
"она" 0.0423908435777872 0.160707111289675 0.154918667699458 0.0869565217391304
"тем" 0 0.120530333467256 0.154918667699458 0.173913043478261
"более" 0.0847816871555744 0.120530333467256 0.0774593338497289 0.130434782608696
"войны" 0.127172530733362 0 0.232378001549187 0.0434782608695652
"вроде" 0.169563374311149 0.0803535556448373 0.0387296669248644 0.130434782608696
