"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"и" 3.15 2.95 3.3 3.15 3.05
"в" 3.85 3.75 4.1 3.9 3.6
"не" 2.1 2.35 1.75 1.8 1.85
"на" 1.25 1.4 1.15 1.3 1.35
"с" 1.1 0.7 0.65 1.05 1.1
"что" 0.8 1.1 0.9 1 0.85
"но" 0.7 0.9 1 1.15 1.1
"его" 0.55 0.45 0.5 0.55 0.45
"из" 0.8 0.85 0.8 0.8 0.65
"как" 0.6 0.4 0.35 0.1 0.25
"то" 0.55 0.5 0.4 0.5 0.55
"это" 0.4 0.5 0.55 0.35 0.55
"а" 0.6 0.6 0.75 0.8 0.8
"к" 0.7 0.6 0.4 0.45 0.55
"по" 0.75 0.55 0.55 0.55 0.6
"за" 0.55 0.55 0.6 0.75 0.75
"он" 0.25 0.2 0.2 0.15 0.1
"о" 0.5 0.4 0.45 0.4 0.4
"от" 0.6 0.65 0.55 0.55 0.65
"для" 0.3 0.3 0.35 0.4 0.35
"их" 0.25 0.25 0.05 0.35 0.4
"у" 0.3 0.4 0.4 0.4 0.4
"или" 0.15 0.15 0.1 0.1 0.05
"ее" 0.3 0.5 0.5 0.3 0.35
"же" 0.2 0.25 0.2 0.3 0.25
"кино" 0.25 0.15 0 0 0.05
"фильма" 0.05 0 0 0 0
"все" 0.2 0.25 0.25 0.35 0.45
"фильм" 0 0 0 0 0
"бы" 0.15 0.05 0.05 0.15 0.15
"еще" 0.4 0.35 0.35 0.25 0.35
"так" 0.1 0.15 0.2 0.2 0.35
"героев" 0.1 0.1 0.1 0.05 0.05
"даже" 0.15 0.15 0.15 0.2 0.2
"если" 0.25 0.3 0.25 0.55 0.65
"во" 0.1 0.1 0.05 0.05 0.05
"очень" 0.1 0.1 0.1 0.05 0.1
"только" 0.15 0.25 0.15 0.25 0.25
"со" 0 0.05 0.15 0.15 0.15
"вполне" 0 0 0 0 0
"которой" 0.05 0.1 0.1 0.05 0
"всё" 0 0 0 0 0
"герои" 0.1 0.1 0.05 0.1 0.15
"история" 0.1 0.1 0.05 0 0
"уже" 0.15 0.15 0.2 0.2 0.15
"чтобы" 0.1 0.1 0.2 0.2 0.25
"этом" 0.15 0.1 0.2 0.25 0.25
"где" 0.2 0.2 0.2 0.3 0.3
"ему" 0 0.05 0.05 0.1 0.05
"совсем" 0.05 0.1 0.1 0.1 0.1
"до" 0.1 0.1 0.15 0.15 0.2
"есть" 0.15 0.15 0.1 0.15 0.15
"когда" 0.15 0.15 0.15 0.05 0.05
"кэт" 0 0 0 0 0
"том" 0.4 0.4 0.35 0.15 0.15
"этого" 0.05 0 0.1 0.15 0.2
"можно" 0.05 0.15 0.1 0.2 0.25
"они" 0.15 0.15 0.15 0.25 0.3
"просто" 0.05 0.1 0.1 0.1 0.15
"чем" 0.2 0.2 0.35 0.3 0.15
"больше" 0 0 0.15 0.15 0.2
"лишь" 0 0 0 0 0
"менее" 0.05 0.05 0.05 0.05 0.1
"может" 0.1 0.15 0.2 0.2 0.2
"нет" 0.25 0.05 0.25 0.2 0.2
"после" 0.1 0.1 0.1 0 0.05
"при" 0 0 0 0 0
"про" 0.05 0.15 0.15 0.1 0.05
"раз" 0.05 0 0 0.05 0.15
"рэмбо" 0 0 0 0 0
"был" 0 0 0 0 0
"впрочем" 0.2 0.1 0.05 0 0.1
"джон" 0.05 0.05 0.05 0 0
"которого" 0.1 0.05 0.05 0.05 0.05
"ли" 0.1 0.2 0.2 0.15 0.15
"несколько" 0.05 0.05 0.05 0.1 0.1
"ни" 0.05 0 0 0 0
"она" 0.15 0.25 0.25 0.2 0.15
"тем" 0.1 0.05 0.05 0.1 0.2
"более" 0.3 0.25 0.2 0.25 0.05
"войны" 0 0 0 0 0
"вроде" 0 0 0 0 0
"здесь" 0 0 0 0 0
"истории" 0.15 0.1 0.05 0.05 0
"конечно" 0.05 0.05 0 0 0
"которые" 0.05 0.05 0.05 0.1 0.15
"который" 0.1 0.05 0 0 0.05
"много" 0 0 0 0 0
"мы" 0.1 0.2 0.15 0.15 0.1
"своих" 0.15 0.1 0.05 0 0
"себе" 0 0 0 0 0.05
"себя" 0.1 0.05 0 0 0
"триллер" 0.05 0 0 0 0
"этой" 0 0 0 0.1 0.1
"этот" 0.2 0.25 0.2 0.15 0.1
"явно" 0.05 0.1 0.1 0.1 0.1
"без" 0.15 0.15 0.2 0.15 0.15
"билли" 0 0 0 0 0
"было" 0 0.05 0.1 0.15 0.15
"время" 0.15 0.15 0.05 0.05 0.05
"всего" 0 0 0 0 0.1
"жизни" 0.1 0.1 0.15 0.05 0.05
"него" 0.05 0.05 0.05 0 0
"них" 0 0 0 0.05 0.15
"оказывается" 0 0 0 0 0
"слишком" 0 0 0 0 0.05
"хотя" 0.15 0.1 0 0 0.05
"да" 0.05 0 0.1 0.1 0.1
"лет" 0.05 0.05 0 0 0
"мира" 0.05 0.05 0.05 0.05 0.05
"над" 0.05 0.05 0.05 0.1 0.1
"одной" 0.2 0.15 0.1 0.15 0.1
"первый" 0.05 0 0 0 0
"самом" 0 0 0 0 0
"своего" 0 0 0 0.05 0.1
"свою" 0.05 0.15 0.2 0.25 0.25
"сказать" 0.05 0.05 0.1 0.1 0.05
"того" 0.1 0.1 0.1 0.05 0.1
"эмбер" 0 0 0 0 0
"ведь" 0.05 0.05 0.05 0.05 0
"возможно" 0 0 0 0.05 0.05
"всей" 0 0 0 0 0
"героя" 0.1 0.05 0 0 0.05
"зрителя" 0.05 0.05 0.05 0.05 0
"именно" 0 0 0 0 0.05
"кажется" 0.15 0.15 0.1 0.05 0.05
"картине" 0 0 0 0 0
"между" 0.25 0.25 0.3 0.25 0.25
"нем" 0.1 0.1 0.1 0.1 0.05
"несмотря" 0.05 0.1 0.05 0.05 0.05
"оба" 0 0 0 0 0
"один" 0.1 0.1 0.15 0.1 0.1
"одного" 0.15 0.15 0.15 0.05 0
"почти" 0.1 0.2 0.2 0.15 0.15
"работы" 0 0 0 0 0
"режиссер" 0 0 0.1 0.1 0.1
"рот" 0 0 0 0 0
"самого" 0 0 0 0 0
"сериала" 0.45 0.5 0.45 0.45 0.55
"становится" 0 0.05 0.05 0.05 0
"уж" 0.05 0.05 0 0 0
"фильме" 0 0 0 0 0
"абсолютно" 0 0 0 0 0
"вовсе" 0.1 0.15 0.15 0.05 0.05
"всех" 0 0 0.05 0.05 0.1
"второй" 0.1 0.05 0 0.05 0.05
"героини" 0.05 0.15 0.15 0.15 0.15
"главного" 0.05 0.1 0.05 0.05 0
"два" 0.05 0.1 0.15 0.25 0.2
"им" 0 0 0 0 0
"имя" 0 0 0 0 0
"ин" 0 0 0 0 0
"историю" 0 0 0 0 0
"конце" 0 0 0 0 0
"которых" 0.1 0.1 0.1 0.05 0.1
"лучше" 0 0 0 0 0.05
"мир" 0.05 0.05 0.05 0.15 0.1
"название" 0.05 0.05 0.05 0.05 0.05
"найти" 0.05 0 0 0 0
"нас" 0 0 0 0 0
"нее" 0.05 0.1 0.2 0.2 0.2
"немного" 0.05 0.05 0.05 0.05 0
"очередь" 0.15 0.15 0.15 0.1 0.15
"под" 0.05 0.05 0.1 0.15 0.25
"разных" 0.1 0.1 0.05 0 0
"рота" 0 0 0 0 0
"сам" 0 0 0 0 0
"самое" 0.05 0 0 0.05 0.05
"своей" 0.15 0.2 0.15 0.1 0.1
"смысле" 0 0 0 0 0
"собой" 0.1 0.1 0.1 0 0
"стоит" 0 0.05 0.05 0.05 0.05
"сюжет" 0.05 0 0 0 0.1
"три" 0.05 0.05 0.05 0 0.05
"хватает" 0.05 0.05 0 0 0
"цель" 0 0 0 0 0
"часть" 0 0 0.1 0.15 0.2
"чего" 0 0 0 0 0
"большой" 0 0 0 0 0
"была" 0 0 0.05 0.05 0.05
"бэмби" 0 0 0 0 0
"вместо" 0.05 0.05 0.15 0.15 0.1
"вот" 0 0.05 0.05 0.05 0.1
"выше" 0 0.05 0.05 0.05 0.05
"главным" 0 0 0 0 0
"деле" 0 0 0 0 0
"дело" 0.05 0.05 0 0 0
"деплешен" 0 0 0 0 0
"деплешена" 0 0 0 0 0
"довольно" 0.05 0 0 0 0.05
"достаточно" 0 0 0 0 0
"дочь" 0 0 0.05 0.05 0.05
"драмы" 0 0.05 0.05 0.05 0.05
"играет" 0.15 0.1 0.05 0.05 0.1
"картина" 0 0 0 0 0
"картины" 0 0 0 0 0
"которая" 0 0 0 0 0
"которое" 0 0.05 0.1 0.1 0.1
"крайне" 0 0 0 0 0
"лотоса" 0 0 0 0 0
"людей" 0.2 0.2 0.25 0.2 0.15
"маккриди" 0 0 0 0 0
"мало" 0 0 0 0.05 0.05
"начала" 0.05 0.05 0.05 0 0
"ней" 0 0.05 0.05 0.1 0.05
"об" 0.1 0.05 0 0 0
"одна" 0 0 0 0 0
"особенно" 0.05 0.05 0.05 0 0
"поэтому" 0.1 0.1 0.1 0.05 0
"происходит" 0.05 0.05 0.05 0.05 0.05
"прошлое" 0 0 0 0 0
"пытается" 0.05 0.05 0.05 0.05 0.05
"разве" 0.05 0 0 0 0
"скорее" 0 0 0 0 0.05
"слову" 0 0 0 0 0
"собственной" 0 0 0 0 0
"столь" 0 0 0 0 0
"столько" 0 0.05 0.05 0.05 0.05
"сцен" 0.15 0.15 0.1 0.1 0.1
"сцены" 0 0 0 0 0.05
"сюжета" 0.05 0 0 0.05 0.05
"точно" 0 0 0 0 0
"хорошо" 0 0 0 0 0
"хуже" 0 0 0 0 0
"части" 0 0 0 0 0
"человека" 0.1 0.05 0.05 0 0.05
"через" 0.1 0.1 0.1 0.05 0
"адам" 0 0 0 0 0
"белого" 0 0 0 0 0
"бесконечно" 0 0 0 0 0
"богов" 0 0 0 0 0
"большая" 0 0 0 0 0.05
"были" 0 0 0 0 0
"быть" 0.1 0.1 0.15 0.1 0.15
"ван" 0 0 0 0 0
"вместе" 0.05 0.05 0.05 0.1 0.1
"война" 0 0 0 0 0
"вообще" 0 0 0.05 0.05 0.05
"впечатление" 0 0 0 0 0.05
"времени" 0.1 0.1 0.05 0.05 0
"всегда" 0 0.1 0.1 0.1 0.1
"герой" 0.1 0.05 0 0 0
"главное" 0.05 0 0 0 0
"главной" 0 0.05 0.05 0.05 0.05
"года" 0.1 0.1 0.1 0.05 0
"году" 0.1 0.05 0.05 0.05 0.05
"действие" 0.05 0.05 0.05 0.05 0.05
"другие" 0 0 0 0 0
"её" 0 0 0 0 0
"жанра" 0 0 0 0 0
"жена" 0 0 0 0 0
"женщины" 0 0.05 0.1 0.25 0.25
"зритель" 0.05 0 0 0 0
"избави" 0 0 0 0 0
"итан" 0 0 0 0 0
"итоге" 0 0 0 0 0
"кассиан" 0 0 0 0 0
"конфликта" 0 0 0 0 0
"котором" 0 0 0 0 0
"которому" 0 0 0 0.05 0.05
"кроме" 0.05 0 0.05 0.05 0.05
"кстати" 0 0 0 0 0
"кэсси" 0 0 0 0 0
"лукавого" 0 0 0 0 0
"мере" 0 0.05 0.05 0.1 0.1
"надо" 0 0 0 0 0.05
"наконец" 0 0 0 0 0
