"Goverdovski_n" "Goverdovski_p" "Sichinava_n" "Sichinava_p" "Voloshin_n" "Voloshin_p"
"и" 3.08724832214765 3.1437125748503 4.11191182704536 4.70068300522298 4.33772269558482 3.39130434782609
"в" 3.48993288590604 3.84231536926148 3.51844001695634 3.89714744877461 3.25329202168861 3.95652173913043
"не" 1.87919463087248 2.09580838323353 1.44128868164476 1.48654077942949 2.13013168086754 1.82608695652174
"на" 1.43176733780761 1.24750499001996 1.18694362017804 1.68742466854158 1.00697134004648 1.82608695652174
"с" 1.02908277404922 1.09780439121756 1.14455277660025 1.68742466854158 1.2006196746708 0.782608695652174
"что" 0.894854586129754 0.848303393213573 0.890207715133531 0.964242667738047 1.35553834237026 0.782608695652174
"но" 1.16331096196868 0.698602794411178 0.635862653666808 0.200883889112093 1.23934934159566 1.39130434782609
"из" 0.671140939597315 0.798403193612774 0.76303518440017 0.683005222981117 0.580945003872967 0.695652173913043
"его" 0.447427293064877 0.548902195608782 0.805426027977957 0.803535556448373 0.735863671572424 0.434782608695652
"а" 0.760626398210291 0.598802395209581 0.423908435777872 0.763358778625954 0.387296669248644 0.478260869565217
"как" 0.223713646532438 0.598802395209581 0.593471810089021 0.723182000803536 0.503485670023238 0.652173913043478
"то" 0.492170022371365 0.548902195608782 0.551080966511234 0.522298111691442 0.774593338497289 0.347826086956522
"к" 0.492170022371365 0.698602794411178 0.593471810089021 0.88388911209321 0.271107668474051 0.217391304347826
"по" 0.536912751677852 0.748502994011976 0.635862653666808 0.562474889513861 0.503485670023238 0.130434782608696
"это" 0.536912751677852 0.399201596806387 0.466299279355659 0.200883889112093 0.929512006196747 0.478260869565217
"за" 0.805369127516778 0.548902195608782 0.466299279355659 0.361591000401768 0.309837335398916 0.347826086956522
"от" 0.626398210290828 0.598802395209581 0.29673590504451 0.241060666934512 0.34856700232378 0.521739130434783
"о" 0.357941834451902 0.499001996007984 0.381517592200085 0.683005222981117 0.193648334624322 0.173913043478261
"для" 0.313199105145414 0.29940119760479 0.466299279355659 0.200883889112093 0.271107668474051 0.391304347826087
"их" 0.357941834451902 0.249500998003992 0.381517592200085 0.562474889513861 0.193648334624322 0.173913043478261
"у" 0.357941834451902 0.29940119760479 0.381517592200085 0.160707111289675 0.232378001549187 0.478260869565217
"он" 0.0894854586129754 0.249500998003992 0.508690122933446 0.321414222579349 0.309837335398916 0.347826086956522
"ее" 0.313199105145414 0.29940119760479 0.466299279355659 0.361591000401768 0.116189000774593 0.173913043478261
"все" 0.402684563758389 0.199600798403194 0.29673590504451 0.321414222579349 0.232378001549187 0.173913043478261
"если" 0.58165548098434 0.249500998003992 0.254345061466723 0.321414222579349 0.154918667699458 0.0869565217391304
"еще" 0.313199105145414 0.399201596806387 0.423908435777872 0.361591000401768 0 0.0869565217391304
"же" 0.223713646532438 0.199600798403194 0.593471810089021 0.361591000401768 0.0387296669248644 0.130434782608696
"или" 0.0447427293064877 0.149700598802395 0.254345061466723 0.482121333869024 0.271107668474051 0.173913043478261
"кино" 0.0447427293064877 0.249500998003992 0.0423908435777872 0.0803535556448373 0.34856700232378 0.652173913043478
"так" 0.313199105145414 0.0998003992015968 0.254345061466723 0.160707111289675 0.309837335398916 0.130434782608696
"бы" 0.134228187919463 0.149700598802395 0.211954217888936 0.0803535556448373 0.464756003098373 0.173913043478261
"только" 0.313199105145414 0.149700598802395 0.254345061466723 0.120530333467256 0.232378001549187 0.173913043478261
"даже" 0.178970917225951 0.149700598802395 0.169563374311149 0.241060666934512 0.154918667699458 0.260869565217391
"сериала" 0.492170022371365 0.449101796407186 0.169563374311149 0.0803535556448373 0.0387296669248644 0
"фильма" 0 0.0499001996007984 0.29673590504451 0.200883889112093 0.271107668474051 0.304347826086957
"том" 0.178970917225951 0.399201596806387 0.0847816871555744 0.321414222579349 0.116189000774593 0.0434782608695652
"где" 0.268456375838926 0.199600798403194 0.0423908435777872 0.0401767778224186 0.271107668474051 0.260869565217391
"фильм" 0 0 0.0847816871555744 0.241060666934512 0.232378001549187 0.478260869565217
"этом" 0.223713646532438 0.149700598802395 0.169563374311149 0.200883889112093 0.154918667699458 0.130434782608696
"героев" 0.0447427293064877 0.0998003992015968 0.339126748622298 0.200883889112093 0.154918667699458 0.130434782608696
"очень" 0.0894854586129754 0.0998003992015968 0.0847816871555744 0.120530333467256 0.309837335398916 0.260869565217391
"чтобы" 0.223713646532438 0.0998003992015968 0.127172530733362 0.160707111289675 0.271107668474051 0.0869565217391304
"во" 0.0447427293064877 0.0998003992015968 0.508690122933446 0.160707111289675 0.116189000774593 0
"они" 0.268456375838926 0.149700598802395 0.211954217888936 0.0803535556448373 0.154918667699458 0.0869565217391304
"сериал" 0.447427293064877 0.399201596806387 0.0847816871555744 0.0401767778224186 0.0387296669248644 0
"уже" 0.134228187919463 0.149700598802395 0.127172530733362 0.0803535556448373 0.34856700232378 0.0869565217391304
"чем" 0.223713646532438 0.199600798403194 0.29673590504451 0.0803535556448373 0.116189000774593 0.0434782608695652
"авторы" 0.492170022371365 0.499001996007984 0 0 0 0
"герои" 0.134228187919463 0.0998003992015968 0.169563374311149 0.200883889112093 0.193648334624322 0.0869565217391304
"нет" 0.178970917225951 0.249500998003992 0.127172530733362 0.120530333467256 0.193648334624322 0.0434782608695652
"со" 0.134228187919463 0 0.127172530733362 0.241060666934512 0.0774593338497289 0.304347826086957
"до" 0.178970917225951 0.0998003992015968 0.0423908435777872 0.0401767778224186 0.116189000774593 0.391304347826087
"есть" 0.134228187919463 0.149700598802395 0.127172530733362 0.160707111289675 0.0774593338497289 0.217391304347826
